id,client_crash_date,date_processed,uuid,product,version,build,signature,url,install_age,last_crash,uptime,cpu_name,cpu_info,reason,address,os_name,os_version,email,user_id,started_datetime,completed_datetime,success,truncated,processor_notes,user_comments,app_notes,distributor,distributor_version,topmost_filenames,addons_checked,flash_version,hangid,process_type,release_channel,productid
0,2012-05-28 01:53:56.541136,2012-05-28 01:53:56.541136,60597bdc-5dbe-4409-6b38-4309c0120627,WaterWolf,3.0a2,20120627015356,FakeSignature2,http://example.com/45249,1234,1234,1234,x86,...,reason4,0xdeadbeef,Windows,1.2.3.4,20313@example.com,,2012-05-28 01:53:56.541136,2012-05-28 01:53:56.541136,t,f,...,comment0,,,,,f,1.1.1.3,,content,Release,{waterwolf@example.com}
1,2012-05-28 01:53:56.541136,2012-05-28 01:53:56.541136,d1ca4dc4-edfd-e416-3eff-8b3fc0120627,WaterWolf,3.0a2,20120627015356,FakeSignature3,http://example.com/40822,1234,1234,1234,x86,...,reason9,0xdeadbeef,Mac OS X,1.2.3.4,,,2012-05-28 01:53:56.541136,2012-05-28 01:53:56.541136,t,f,...,,,,,,f,1.1.1.3,,content,Release,{waterwolf@example.com}
2,2012-05-28 01:53:56.541136,2012-05-28 01:53:56.541136,5e0730b3-cc17-0c31-c7ee-c61bb0120627,WaterWolf,3.0a2,20120627015356,FakeSignature1,http://example.com/14203,1234,1234,1234,x86,...,reason2,0xdeadbeef,Linux,1.2.3.4,,,2012-05-28 01:53:56.541136,2012-05-28 01:53:56.541136,t,f,...,,,,,,f,1.1.1.3,,content,Release,{waterwolf@example.com}
3,2012-05-28 02:23:56.541136,2012-05-28 02:23:56.541136,b3de08f9-ec98-3704-4692-ba0350120627,WaterWolf,3.0a2,20120627015356,,http://example.com/39525,1234,1234,1234,x86,...,reason9,0xdeadbeef,Windows,1.2.3.4,,,2012-05-28 02:23:56.541136,2012-05-28 02:23:56.541136,t,f,...,,,,,,f,1.1.1.2,,browser,ESR,{waterwolf@example.com}
4,2012-05-28 02:23:56.541136,2012-05-28 02:23:56.541136,7bd9e8a1-ff29-7d0e-4f2e-84fcb0120627,WaterWolf,3.0a2,20120627015356,FakeSignature3,http://example.com/16340,1234,1234,1234,x86,...,reason2,0xdeadbeef,Mac OS X,1.2.3.4,,,2012-05-28 02:23:56.541136,2012-05-28 02:23:56.541136,t,f,...,,,,,,f,1.1.1.4,,content,ESR,{waterwolf@example.com}
5,2012-05-28 02:23:56.541136,2012-05-28 02:23:56.541136,400db00d-d388-1a50-5805-6ed090120627,WaterWolf,3.0a2,20120627015356,,http://example.com/52113,1234,1234,1234,x86,...,reason4,0xdeadbeef,Linux,1.2.3.4,,,2012-05-28 02:23:56.541136,2012-05-28 02:23:56.541136,t,f,...,,,,,,f,1.1.1.1,,content,ESR,{waterwolf@example.com}
6,2012-05-28 02:53:56.541136,2012-05-28 02:53:56.541136,21fdac3a-f325-ffbe-9065-6c8fb0120627,WaterWolf,3.0a2,20120627015356,FakeSignature5,http://example.com/45249,1234,1234,1234,x86,...,reason4,0xdeadbeef,Windows,1.2.3.4,23288@example.com,,2012-05-28 02:53:56.541136,2012-05-28 02:53:56.541136,t,f,...,comment7,,,,,f,1.1.1.3,,content,Release,{waterwolf@example.com}
7,2012-05-28 02:53:56.541136,2012-05-28 02:53:56.541136,ec08693c-7401-f5ce-2425-d75a40120627,WaterWolf,3.0a2,20120627015356,FakeSignature2,http://example.com/63344,1234,1234,1234,x86,...,reason8,0xdeadbeef,Mac OS X,1.2.3.4,,,2012-05-28 02:53:56.541136,2012-05-28 02:53:56.541136,t,f,...,,,,,,f,1.1.1.4,,browser,Release,{waterwolf@example.com}
8,2012-05-28 02:53:56.541136,2012-05-28 02:53:56.541136,78573797-4a80-7546-4627-314170120627,WaterWolf,3.0a2,20120627015356,FakeSignature1,http://example.com/27191,1234,1234,1234,x86,...,reason4,0xdeadbeef,Linux,1.2.3.4,,,2012-05-28 02:53:56.541136,2012-05-28 02:53:56.541136,t,f,...,,,,,,f,1.1.1.1,,browser,Release,{waterwolf@example.com}
9,2012-05-28 03:23:56.541136,2012-05-28 03:23:56.541136,7deaab64-16d1-b5ac-2e1c-5d3a50120627,WaterWolf,3.0a2,20120627015356,,http://example.com/11932,1234,1234,1234,x86,...,reason4,0xdeadbeef,Windows,1.2.3.4,,,2012-05-28 03:23:56.541136,2012-05-28 03:23:56.541136,t,f,...,,,,,,f,1.1.1.2,,plugin,Release,{waterwolf@example.com}
10,2012-05-28 03:23:56.541136,2012-05-28 03:23:56.541136,08c9196d-a9fd-1ce9-9665-5f23b0120627,WaterWolf,3.0a2,20120627015356,FakeSignature9,http://example.com/63344,1234,1234,1234,x86,...,reason5,0xdeadbeef,Mac OS X,1.2.3.4,,,2012-05-28 03:23:56.541136,2012-05-28 03:23:56.541136,t,f,...,,,,,,f,1.1.1.3,,browser,Release,{waterwolf@example.com}
